# Truth table
# Exported on Wed Mar 13 21:32:54 BRT 2024

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

State[4..0] Instru[7..0] Status[2..0] | NextState[4..0] SelReg[3..0] SelAddr[2..0] Func[2..0]    WR[14..0]    BusSel
   01101      ------00       ---      |      00001          0000          000         000     000000000001000   0   
   01101      ------01       ---      |      00001          0001          000         000     000000000001000   0   
   01101      ------10       ---      |      00001          0010          000         000     000000000001000   0   
   01101      ------11       ---      |      00001          0011          000         000     000000000001000   0   
   01110      --------       ---      |      01111          1011          011         000     000001001000000   0   
   01111      --------       ---      |      10000          1011          100         000     000010001000000   0   
   10000      --------       ---      |      00001          0000          100         000     000000000010000   0   
   10001      --------       ---      |      10010          1011          011         000     000000001000010   0   
   10010      --------       ---      |      10011          1011          100         000     000000001000100   0   
   10011      --------       ---      |      00001          1011          010         000     000000000010000   0   
   10100      --------       ---      |      10101          1011          011         000     000000001000010   0   
   10101      --------       ---      |      10110          1011          100         000     000000001000100   0   
   10110      --------       ---      |      10011          0000          100         000     000000100000000   1   
   10111      --------       ---      |      10111          0000          000         000     000000000000000   0   
   11000      ----000-       ---      |      00001          0000          000         000     000000100000000   1   
   11000      ----001-       ---      |      00001          0000          001         000     000000100000000   1   
   11000      ----010-       ---      |      00001          0000          010         000     000000100000000   1   
   11000      ----011-       ---      |      00001          0000          000         000     000000100000000   1   
   11000      ----100-       ---      |      00001          0000          000         000     000000000010000   0   
   11000      ----101-       ---      |      00001          0000          001         000     000000000010000   0   
   11000      ----110-       ---      |      00001          0000          010         000     000000000010000   0   
   11000      ----111-       ---      |      00001          0000          000         000     000000000010000   0   
   11001      --------       ---      |      11010          1011          011         000     000000001000010   0   
   11010      --------       ---      |      11011          1011          100         000     000000001000100   0   
   11011      ---0000-       ---      |      -----          ----          ---         ---     ---------------   -   
   11011      ---0001-       --0      |      00001          0000          010         000     000000000010000   0   
   11011      ---0001-       --1      |      00001          0000          100         000     000000000010000   0   
   11011      ---001--       --0      |      00001          0000          100         000     000000000010000   0   
   11011      ---001--       --1      |      00001          0000          010         000     000000000010000   0   
   11011      ---01---       0--      |      00001          0000          100         000     000000000010000   0   
   11011      ---01---       1--      |      00001          0000          010         000     000000000010000   0   
   11011      ---1----       -0-      |      00001          0000          100         000     000000000010000   0   
   11011      ---1----       -1-      |      00001          0000          010         000     000000000010000   0   
   11100      --------       ---      |      -----          ----          ---         ---     ---------------   -   
   11101      --------       ---      |      -----          ----          ---         ---     ---------------   -   
   11110      --------       ---      |      -----          ----          ---         ---     ---------------   -   
   11111      --------       ---      |      -----          ----          ---         ---     ---------------   -   
